"老太太捋鬍子","假牽須(謙虛)比喻不誠實、虛僞)"
"老鼠留不得隔夜糧","好吃(比喻嘴饞手懶)"
"老鼠嫁女","小打小鬧"
"老鼠鑽進人堆裏","找死"
"老鼠鑽進瞭牛角","越往後越緊(比匕喻越來越不寬裕)"
"老鼠鑽風箱","兩頭受氣(比喻受多方麵的抱怨或責難。或兩頭不討好。)"
"老虎身上的虱子","誰敢惹(比喻爪牙、狗腿仗勢欺人，沒人敢問，比喻自找倒黴)"
"老虎拉車","下聽那一套(比喻不管彆人怎麼說，怎麼做，都置之不理。)"
"老虎的尾巴","摸不得(比喻不能觸犯)"
"老虎吃肉","親自下山(比喻親臨占氣場)"
"老和尚打兒子","沒有的事"
"老和尚盼媳婦","下一輩子的事(比喻白盼，不能實現。)"
"老和尚瞧嫁妝","下一輩子見吧(十匕喻眼下實現不瞭的事，短時間看不到)"
"老和尚撞鍾","過一日是一日(比喻胸無大誌，得過且過)"
"老和尚吹管子","不懂笛(的)"
"老鷂落在豬身上","光瞧見人傢黑，瞅不到自個兒黑(比喻隻看見彆人的缺點，看不到自己的毛病)"
"巧媳婦","難做無米之炊"
"可著頭做帽子","一點裕也沒有"
"可著頭做帽子","恰到好處"
"扔齣去的手榴彈","沒人敢要"
"扒瞭皮的癩蛤蟆","活著討厭，死的還嚇人"
"古董攤上的東西","盡賣高價"
"古董店裏的老鼠","碰不得"
"正月十五趕廟會","隨大流"
"正月初二拜丈母娘","正適時"
"甘庶地裏長草","荒唐(糖)"
"甘庶地裏栽蔥","比人傢矮一截"
"甘庶命","吃一節算一節"
"平地裏超墳堆","無中生有"
"辣椒麵吃進鼻眼裏","嗆人"
"辣椒身上長柿子","越紅越圓滑"
"雷聲大雨點小","有名無實"
"雷公打架","差天遠"
"雷公打芝麻","專揀小的欺"
"屬騾子的","空前絕後"
"屬馬蜂的","不好惹"
"屬阿鬥的","扶不起來"
"屬煙袋鍋的","頭熱乎"
"屬瘋狗的","見人就咬"
"屬麻花的","擰著勁幾"
"屬蟹的","肚裏有貨"
"屬貓頭鷹的","一夜裏歡"
"屬豬的","能吃能睡"
"屬兔子的","一蹦三尺高"
"屬芝麻的","不打不齣油"
"屬刺猥的","誰碰紮誰手"
"屬螞蟻的","見縫就鑽"
"屬猴兒的","見圈就鑽"
"屬鴨子的","嘴硬心熱"
"屬耗子的","齣門兒就忘"
"屬豬的","吃肉的貨"
"屬狗的","直腸子"
"屬老鼠的","能吃不能拿"
"屬狗的","老愛咬人"
"屬送子奶奶的","兩個臉"
"屬老鼠的","能吃不能拿"
"屬竹子的","心時虛"
"臘月裏生孩子","動(凍)手兒動(凍)腳兒的"
"臘月裏的蘿蔔","動(凍)瞭心"
"臘月搖扇子","反常"
"落雨天打麥","難收場"
"落雨無找棉花套","越背越重"
"籠裏的鴿子","放瞭還迴來"
"籠裏的鳥","有翅難飛"
"籠裏的鳥","隨你逗"
"籠裏的鸚哥","成天耍嘴"
"臉醜怪鏡歪","強詞奪理"
"臉上寫字","錶麵文章"
"臉盆裏的泥鰍","滑不到哪裏去"
"臉盆裏紮猛子","不知深淺"
"梁園雖好","不是久留之地"
"梁山上的好漢","逼齣來的"
"梁上吊死人","上不著天，下不著地"
"梁上君子","上不沾天，下不著地"
"蘿蔔掉進醃菜壇","泡著吧"
"蘿蔔大","在輩(背)上"
"蘿蔔上供","哄神"
"蘿蔔乾飩豆腐","沒點血色"
"聾子打貧","聽不清"
"聾子不怕雷","膽子大"
"聾子聽戲，瞎子觀燈","無所獲"
"聾子打鈴","充耳不問"
"聾子的耳朵","有也當無"
"聾子看戲","有也當無"
"聾子對話","各說各的"
"聾子間雷","在哪"
"聾子遇見啞巴","個不間，一個不聽"
"聾子聽蚊子叫","無多·元息"
"聾子打翻瞭啞巴的油","說不清楚"
"涼木待客","冷淡"
"涼水碗裏的一雙筷子","能勞齣什麼味道來"
"流水簿子做袍子","滿身都是帳"
"狼狗打架","兩頭害怕"
"狼藉獵娃","還不瞭"
"狼看羊羔","越看越少"
"狼吃鬼","沒影幾"
"狼窩裏蕎孩子","性命難保"
"狼行韆裏吃肉","本性難移"
"狼頭上括竹筍","裝羊(羊)"
"狼裝羊笑","居心不良"
"狼裝羊肥","不懷好意"
"狼頭上長角","裝樣(羊)"
"狸貓耳朵","太短"
"鈴銷敲鑼鼓","想(響)在一塊"
"駱駝進雞窩","沒門"
"駱駝上車","就剩一下樂兒瞭"
"駱駝的脖子仙鶴的腿","各有所長"
"駱駝看天","眼高"
"駱駝跳舞","不象樣子"
"駱駝摔個子","毀瞭俺(鞍)"
"駱駝打架","歇夠瞭再乾"
"駱駝打浚幾","翻不過身來"
"駱駝戴鳳鏡","傻瞭眼"
"理發師帶徒弟","從頭教起"
"綠時著火烤","非黃不可"
"綠皮南瓜","嫩著哩"
"路旁的車前子","壓不死"
"路邊撿私生子","非親非故"
"鑼齊鼓不齊","高潮不在點上"
"鑼鼓對著街上敲","叫人聽的"
"廉頗拜藺相如","負荊請罪"
"輾轉沒有軸","玩不轉"
"垃圾堆裏打氣","光進不齣"
"輪胎裏打氣","先進不齣"
"簾子臉兒","落下來瞭"
"爐裏的渣滓","有用的不多"
"老三錯瞭罵兄弟","怪事(四)"
"老虎頭上的蒼蠅","拍不得"
"老虎披蓑衣","終歸不是人"
"老綿羊攆狼","拼啦"
"老驢拉磨","瞎轉圈"
"老驢子打滾","翻不過身來"
"老頭兒的拐棍","早晚得扔"
"老墳頭裏的屍骨","空架子"
"老墳地裏種西瓜","隔門隔代有瓜葛"
"老鷂叮蚌麵","難脫身"
"老玉米裏攙白麵","粗中有細"
"老公雞戴眼鏡","官(冠)兒不大，架子不小"
"老公公背兒媳婦過河","吃力不討好"
"老貓守鼠洞","蹲著瞧"
"老貓犯罪狗戴枷","無辜受纍"
"老寡婦遇見老絕戶","孤的孤，苦的苦"
"老和尚剃頭","掃光"
"老和尚拜丈人","怪事"
"老和尚丟瞭棍","能說不能行"
"老和尚的帽子","平不拉塌的"
"老和尚的百鈉衣","東拼西湊"
"老母雞跟黃鼠狼結交","沒好下場"
"老母雞抱空窩","伏(孵)著吧"
"老母雞抱空窩","不簡單(不見蛋)"
"老母豬逛花園","找著挨揍"
"老母豬爬樓梯","高攀"
"老母豬吃鐵餅","好硬的嘴"
"老母豬跟牛打架","豁齣老臉來瞭"
"老母豬追兔子","上氣不按下氣"
"老母豬打架","光使嘴"
"老肥豬上屠場","挨刀的貨"
"老牛鑽狗洞","難通過"
"老牛追兔子","有勁使不上"
"老牛不怕狼咬","豁齣去"
"老牛死瞭","任人宰割"
"老牛走老路","照舊"
"老牛吃青草","兩邊掃"
"老子偷豬兒偷牛","一個更比一個凶"
"老子納妾兒姘居","一窩一不正經"
"老子坐班房","受人牽連"
"老子偷獵兒偷牛","一輩比一輩壞"
"老鼠扒屎盆","替狗忙"
"老鼠偷秤砣","倒貼(盜鐵)"
"老鼠管倉","越管越光"
"老鼠爬香爐","碰瞭一鼻灰"
"老鼠碰見貓","不敢想(響)"
"老鼠鑽進入堆裏","找死"
"老鼠背上生瘡","發不大"
"老鼠拖木鍁","大頭在後頭"
"老鼠掉進醋缸","一身酸氣"
"老鼠找大槍","窩裏逞能"
"老鼠進書房","咬文嚼字"
"老鼠進貓窩","白送禮"
"老鼠啃皮球","客(嗑)氣"
"老鼠吃貓飯","偷偷乾"
"老鼠進風箱","兩頭受氣"
"老鼠給大象指路","越走越窄"
"老鼠鑽油壺","有進無齣"
"老鼠給貓拜年","全體奉送"
"老鼠騎在貓身上","好大的膽子"
"老鼠咬貓","無法無天"
"老鼠跳到鋼琴上","亂談(彈)"
"老鼠響滿瞭三鬥六","惡貫滿盈"
"老鼠同貓睡","練膽子"
"老鼠打擺子","竄裏戰"
"老虎皮，兔子膽","色厲內荏"
"老虎進城","傢傢關門"
"老虎兜圈子","一迴就夠"
"老虎和豬生的","又惡又蠢"
"老虎嘴塞螞蚱","填不滿"
"老虎咧嘴笑","用心歹毒"
"老虎演戲","好看也彆看"
"老虎逛公園","誰敢攔"
"老虎的兒子","彆看他(它)小"
"老虎看小孩","有主的肉"
"老虎串門","稀客"
"老虎打架一","沒人勸"
"老虎打哈欠","口氣真大"
"老虎不嫌黃羊瘦","沾葷就行"
"老虎鬍子","誰敢模"
"老虎戴道士帽","假裝齣傢人"
"老進山神廟","老腐敗(虎拜)"
"老進山洞","顧前不顧後"
"老虎進棺材","嚇死人"
"老虎進棺材","嚇死人"
"老虎咬銃","兩敗具傷"
"老太太喝稀飯","無恥(齒)下流"
"老太太紮鞋底","韆真(針)萬真(針)"
"老太太不吃杏","酸心"
"老太太趕集","緊趕慢趕"
"老太太啃雞筋","難嚼難咽"
"老太太吃糖","越扯越長"
"老太太的包袱","鼓鼓囊囊"
"老太太吃豆腐","一物降一物"
"老太太吃豆腐","正好"
"老虎打架","勸不得"
"老太太吃炒蠶豆","咬牙切齒"
"老太太吃豆腐","不必擔心"
"老太大的牙齒","活的"
"浪子迴頭","金不換(比喻犯過大錯，吃過大苦頭，吸取教訓，能變為極有用的人。)"
"榔頭對錘子","狠對狠(比喻凶狠的遇到凶狠的。)"
"狼藉豬娃","還不瞭(比喻不去無迴)"
"狼吃狼","冷不防(比喻突然，沒有料到。)"
"濫竿充數","掛個空名(比喻沒有本領的人充作有本領的人，也常用來錶示自謙。)"
"爛膏藥貼在好肉上","自找麻煩(比喻自己給自己增加負擔J"
"爛魚開瞭膛","付壞心腸(比喻用心險惡。)"
"爛網打魚","一無所獲(比喻什麼也沒有得到。)"
"爛肉喂蒼蠅","投其所好(比喻迎閤人傢的愛好，逗引它上鈎。)"
"爛泥菩薩","全靠金貼(比喻錶麵很漂亮，內裏不怎麼樣)"
"爛泥土下窯","燒不成個東西(比喻不成材／"
"爛泥裏打樁子","越打越下(比喻不斷受打擊，受壓迫，越來越嚴重。)"
"爛木頭做大梁","不好用(比喻工作能力差不能重用。)"
"爛泥菩薩","樣子神氣"
"爛泥土下窯","燒不成個東西"
"爛泥路上拉車","越陷越深"
"爛泥馬捏神像","沒上好心腸"
"爛柿子上船","軟貨"
"爛柿屠落地","軟癱子"
"爛木頭刻章","不是這塊料"
"爛掃帚上市","分文不值"
"藍天上的雲彩","隨風飄"
"藍天上的白雲","自由自在"
"藍天上的氣球","輕飄飄的"
"懶婆娘的裹腳","又長又臭(比喻文章篇幅長，內容空洞。)"
"懶驢上磨","屎尿多(比喻懶惰的人一到乾正事，便尋找藉口逃避。)"
"癩蛤蟆帶娃娃","隻講個數"
"癩蛤蟆穿大紅袍","隻可遠看，不能近瞧(比喻仔細一瞧就露餡瞭。)"
"癩蛤蟆生蠍子","一窩更比一窩毒(比喻一代比一代陰險、歹毒j"
"癩蛤蟆跳到秤盤上","自稱自(比喻自己稱贊自己J"
"癩蛤蟆打吹欠","好大的口氣"
"癩蛤蟆吃骰子","一肚子點子"
"癩蛤蟆剝皮不閉眼","還想蹦達幾下(比喻還想作垂死掙紮。)"
"癩子的腦袋","不好提(剃)(比喻不好談或很難對付。)"
"臘鴨子煮到鍋裏頭","身子爛瞭，踴頭還硬(比喻身子受瞭苦，嘴上還是不肯說。)"
"臘月裏扇扇子","火氣太大(比喻脾氣十分暴躁。)"
"臘月裏遇上狼","冷不防(比喻意料外的。)"
"蠟燭的脾氣","不點不亮(比喻經過指，點纔明白。)"
"蠟颱上無油","空費芯心)"
"辣椒炒豆腐","外辣裏軟(比喻人外錶強硬而內心怯懦)"
"喇叭嘴上塞泥巴","吹不響"
"垃圾堆旁聊天","滿口髒話"
"垃圾堆裏的破鞋","沒人要的貨"
"垃圾堆裏的破鞋","一錢不值"
"垃圾堆裏的東西","廢物"
"垃圾堆裏的八駿圖","廢話(畫)"
"拉便糞嗑瓜子","進的少，齣的多(比喻入不抵齣。"
"拉屎拉到鞋跟兒裏","提不得(比喻沒法說起)"
"拉叫驢上市","冒充大牲口(比喻以小充大，以假充真。)"
"拉著何仙姑叫舅媽","五百年前是一傢(比喻故意套近乎。)"
"拉瞭弦的手榴彈","給誰誰不要(比喻沒人敢接受。)"
"拉肚子吃補藥","白費勁"
"拉石灰車遇到傾盆雨","心急火燎"
"拉琴的丟樂本","沒譜兒瞭"
"拉鬍子過河","謙(牽)虛(須)過度(渡)"
"拉磨的驢戴眼罩","瞎轉悠"
"拉駱駝放羊","高的高，低的低"
"亂麻團纏皂角樹","理不清"
"亂墳堆裏找人","都是死硬貨"
"擔著苦瓜樂本","沒譜兒瞭"
"擔心手臂比腿粗","多作"
"癩皮狗上轎","招搖撞騙"
"癩子的腦殼","沒法(發)"
"癩子剃頭","看貨"
"癲子當和尚","不費手續"
"癩蛤蟆敲大鼓","自吹自擂"
"癲蛤蟆爬香爐","碰一鼻子灰"
"癩蛤蟆請客","四眼相顧"
"癲蛤蟆上餐桌","盡遇到敗興"
"禿子頭上盤大辮","白忙"
"割草撿個大西瓜","賺大瞭"
"癩蛤蟆不長毛","天生這路種"
"癲蛤蟆上櫻桃樹","盡想高味"
"螺螄殼裏擺擂颱","踢打不開"
"懶人的鋪蓋","不理"
"懶婆娘的針綫筐","亂七八糟"
"懶大嫂趕場","中間不急兩頭忙"
"懶驢子駕轅","不打不走"
"丟下黃羊攆兔子","不知哪大哪小"
"兩個肩膀找張嘴","走到哪裏吃哪裏"
"五朵梅花開一朵","四肢(枝)無力"
"狗叼來的肉貓吃瞭","坐享其成"
"叫哈巴狗咬獅子","唆人上當"
"地洞裏藏著老鼠","見不得陽光"
"小偷的婆娘當妓女","男盜女娼"
"一籃雞蛋批地下","沒有一個好的"
"走過的路上不長草","太毒瞭"
"樹葉落下怕打破頭","膽小鬼"
"鳳凰跌到雞窩裏","落魄瞭"
"二八月裏的莊稼","青黃不接"
"沒有籠頭的馬駒子","不定性"
"火神爺找龍王爺","成心鬧彆扭"
"老虎吃兔子","一口吞"
"鼓搗財神爺的口袋","想發意外之財"
"三個妖魔戲白骨精","盡耍鬼把戲"
"踩著麻雀當蛇","大驚小怪"
"不倒翁騎兔子","沒有穩當勁"
"不吃羊肉羊膻臭","自背臭名"
"玻璃耗子琉璃貓","一毛不拔"
"不吃桑葉的老蠶","盡是私(絲)"
"跛腳馬碰到瞎眼騾","難兄難弟"
"婊子掛起貞節牌","假裝正經"
"逼公雞下蛋","故意刁難，辦不到"
"半空中點燈","高明"
"闆門上貼門神","一個嚮東，一個嚮西"
"背著糞簍滿街竄","找死(屎)"
"包公審案子","鐵麵無私"
"保險櫃裏安雷管","暗藏殺機"
"牆上畫老虎","吃不瞭人"
"牆上畫螞蚱","蹦達不起來"
"牆上畫貓","一隻眼"
"牆上掛棋盤","一個子兒留不住"
"牆上掛的王八","上不著天"
"牆上掛的美人","你愛她，她不愛你"
"牆上蘆葦","頭重腳輕根底淺"
"敲小鑼的","裝腔作勢"
"敲鍾不念經","混飯吃"
"蕎麥開花","白啦"
"蕎麥去瞭皮","單人(仁)"
"蕎麥皮上船","不識(是貨)"
"巧他爹打巧他娘","巧上加巧"
"秦檜奏本","進饞言"
"秦瓊賣刀","腰裏無錢"
"秦瓊拜乾爹","認錯瞭人"
"青石闆上釘釘子","硬鑽"
"青石闆上灑石灰","一清(青)二白"
"青蛙跳門檻","又蹲屁股又傷臉"
"青蛙笑蝌蚪","忘瞭自己從哪裏來的"
"清明節上墳","哄鬼"
"清水拌鐵砂","閤不到一塊"
"清水不同濁水去","好壞分開"
"晴天打雷","不妨(防)"
"鞦後的絲瓜","肚子私(絲)"
"鞦後的扇子","無人過問"
"鞦天的菊花","經得起風霜"
"鞦天的露水","早晨的事"
"鞦天的鯉魚","可肥瞭"
"娶得媳婦嫁不得女","有進無齣"
"娶媳婦的穿孝服","紅白喜事"
"娶媳婦嫁女","雙喜臨門"
"瘸腿鴨子","上不瞭架"
"鐵打的饅頭","啃不動"
"五月的麥子","黃瞭；一天變個樣"
"秦始皇修長城","韆古奇跡；功過後人評"
"青桐木做扁擔","硬杠子"
"青皮橄欖","先苦後甜"
"青石闆上抹油","滑得很"
"青石上釘釘子","硬鑽"
"青蛙跳塘","不懂(撲通)"
"清晨的太陽","滿紅火"
"清官斷案子","認理不認親"
"清水衙門","無懈可擊；一塵不染"
"蜻蜓撞著蜘蛛網","有翅難飛"
"蜻蜓飛進蜘蛛網","命難逃"
"蜻蜓撼樹","紋絲不動"
"晴天帶傘","有備無患"
"晴天下大雪","明明白白；明白"
"窮木匠開張","隻有一句(鋸)"
"窮人的日子","難熬"
"鞦天的蛤蟆","沒幾天叫頭"
"鞦後望田頭","找岔(茬)"
"鞦天的花椒","黑心；黑瞭心"
"鞦天的柿子","自來紅"
"蚯蚓釣鯉魚","以小引大"
"蚯蚓上牆","腰杆子不硬"
"娶媳婦穿孝衫","十裏鄉情不一般"
"泉水坑裏扔石頭","一眼看到底"
"拳頭打跳蚤","吃虧是自己；自己吃虧；白費功"
"犬守夜，雞司晨","各盡其能"
"缺嘴少耳朵","又聾又啞"
"瘸腿驢攆馬","越追越遠"
"瘸驢的屁股","邪(斜)門"
"瘸青蛙遇著瞎蛤蟆","難兄難弟"
"瘸子穿花鞋","走著瞧"
"瘸子當差役","用人不當"
"瘸子跌斷腿","一蹶不振"
"瘸子爬山","步步難；走險；東倒西歪"
"七尺而攔腰剪","不三不四"
"七總管死瞭","六神無主"
"騎驢瞧帳本","走著看"
"乞兒籃裏搶冷飯","不近人情"
"汽車爬大樹","瞎來"
"汽車撞輪船","難得一迴"
"韆層底做腮幫","臉皮厚"
"韆裏馬拉犁","大材小用"
"韆人同船","共一條命"
"牽牛走紙橋","過不去"
"錢在手邊，食在嘴邊","難留"
"牆角開口","邪(斜)門"
"牆頭草","順風倒"
"牆上的山水畫","麵上好看"
"牆上畫老虎","吃不瞭人"
"挨瞭霜的狗尾巴草","蔫瞭"
"挨著火爐吃海椒","裏外發燒"
"矮梯子上高房","搭上不言(簷)"
"矮子穿高跟鞋","高也有限"
"矮子打狼","光喊不上"
"矮子放風箏","節節高；節節上升"
"矮子放屁","低聲下氣"
"矮子觀光","隨聲附和"
"矮子過河","安(淹)心"
"矮子看戲","聽聲"
"矮子裏麵拔將軍","將就材料；短中取長"
"矮子爬樓梯","巴不得(迫切盼望)"
"矮子婆娘","見識低"
"矮子想登天","不知天高地厚；妄想；癡心妄想"
"愛打官司逞英雄","窮鬥氣"
"庵堂裏的木魚","任人敲打"
"鵪鶉要吃樹上果","夠不著；盡想好事；想得倒美"
"岸上看人溺水","見死不救"
"岸上撈月","白費功夫；白費勁"
"按彆人的腳碼買鞋","生搬硬套"
"按彩球的乞丐","高興得發傻"
"按雞頭啄米","白費心機"
"按方抓藥","照辦"
"按牛頭喝水","辦不到；沒法辦"
"按下葫蘆起瞭瓢","顧瞭這頭丟那頭；此起彼落"
"案闆頂門","管得寬"
"案闆上的擀麵杖","光棍一條"
"案闆上的肉","任人宰割；隨人宰割"
"案闆上的魚","挨刀的貨"
"暗地裏盯梢","偷偷摸摸"
"偶像麵前磕頭","畢恭畢敬"
"漚爛的花生","不是好人(仁)"
"剖腹藏珍珠","愛財不愛命"
"剖腹獻肝膽","死盡忠心(比喻為國為民一片忠心)"
"剖魚得珠","喜齣望外(比喻意想不到的高興)"
"跑瞭羊修圈","防備後來(比喻在事情失敗之後，想辦法去補救)"
"袍子改汗衫","有餘"
"跑著養豬","看在錢份上"
"平光鏡","八麵光"
"平地裏起墳堆","無中生有"
"泡軟瞭的豆子","不乾脆"
"泡泡糖粘住糯米飯","扯也扯不開"
"泡透的土牆","不久長"
"噴火器的脾氣","開口就發火"
"瓶子裏的蒼蠅","沒有齣路"
"瓶口封蠟","滴水不漏"
"捧著金碗當乞丐","高興的發傻"
"排骨燒豆腐","有硬有軟"
"婆婆嘴吃西瓜","滴水不漏"
"婆婆一個說瞭算","沒公理"
"爬上馬背想飛天","好高鶩遠"
"盼望齣太陽的姑娘","熱情(晴)人"
"爬竿比賽","看誰上的快"
"爬樓梯跌跤","爬得越高摔得越重"
"爬山虎的本領","自己結"
"拍馬屁拍到馬嘴上","會咬一口"
"拍拍屁股就走","不管瞭"
"排筆給畫","綫條太粗"
"排隊梳辮子","一個一個來"
"牌樓下躲雨","暫避一時"
"潘金蓮給武鬆敬酒","不懷好意"
"潘金蓮敬酒","醜話說在前"
"盆子裏擺雞蛋","不數的幾個"
"盤山公路上開車","要善於轉彎"
"判官辦案","嚇死人"
"判官演魔術","盡耍鬼把戲"
"胖子穿小褂","不閤身"
"胖婆娘過窄門","門當(擋)戶對"
"盆子裏擺山水","假景"
"拋球招親","未必如意"
"捧著金碗要飯吃","裝窮叫苦"
"捧著金碗當乞丐","何必求人"
"膨脹的皮球","一肚子氣"
"披蓑衣救人","惹火(禍)上身"
"披麻救火","自討苦吃"
"皮鞋打蠟","一時光"
"騙子賭錢","耍手腕"
"貧血病人","臉上無光"
"潑婦搽粉","隻圖臉上好看"
"葡萄架下乘涼","舒適舒適"
"普希金的情詩","充滿愛心"
"普希金與情詩","做一行愛一行"
"砒霜拌薑汁","毒辣"
"拼死吃河豚","一命搏一命"
"破錶","沒準兒"
"剖腹獻肝膽","死盡忠心"
"剖魚得珠","喜齣望外"
"葡萄汁充花露水","不是那塊料"
"砒霜裏浸辣椒","毒辣透頂"
"爬上塔頂吹笛子","高調"
"怕死碰見鬼子兵","在劫難逃"
"拍馬屁拍到馬嘴上","倒咬一口"
"拍一下腦殼腳底動","靈透瞭"
"拍照片不上捲","沒影子"
"潘金蓮熬藥","暗中放毒"
"潘仁美掛帥","奸臣當道"
"盤子裏生豆芽","根底淺"
"判官的肚腹","鬼心腸"
"判官拍照","鬼樣子；鬼相"
"判官敲門","催命鬼"
"盼月亮從西齣","沒指望"
"螃蟹過門檻","七手八腳"
"螃蟹進油鍋","橫行到頭瞭"
"螃蟹爬到路上","橫行霸道"
"螃蟹上樹","巴不得"
"胖子排橫隊","齊頭並進"
"跑瞭耗子捉狐狸","一個比一個刁"
"跑馬吃烤鴨","這把骨頭不知往哪扔"
"捧著泥鰍玩","耍滑頭"
"披虎皮上山","嚇唬人"
"砒霜拌大蔥","又毒又辣；毒辣"
"琵琶斷瞭弦","談(彈)崩瞭"
"皮匠不帶錐子","真(針)好"
"皮褲套棉褲","必定有緣故"
"皮球裂口","泄氣"
"皮球上戳眼眼","癟瞭"
"皮鞋打蠟","一時光"
"屁股底下長刺","坐不穩；坐不住"
"屁股上安拉鎖","開後門"
"屁股上掃帚","好偉(尾)大"
"屁股上拴石頭","纍贅"
"屁股上捅一刀","背後整人"
"騙子碰到騙子","爾虞我詐"
"瓶子裏的蒼蠅","無齣路；沒有齣路"
"平地搭梯子","無依無靠"
"婆婆穿花襖","老來俏"
"破風箏","抖不起來；不見起"
"破釜沉舟","隻進不退"
"破罐子破摔","自暴自棄；豁齣去瞭"
"破帽子","露頭"
"破棉襖","裏外孬；裏外都不好"
"破廟裏的菩薩","東倒西歪"
"破土的春筍","拔尖"
"破襪子補帽沿","一步(布)登天"
"破鞋幫","露底"
"破蒸籠蒸饅頭","渾身是氣；氣不打一處來"
"蒲扇打鑼","麵麵俱到"
"菩薩挨偷","失神"
"菩薩掃地","勞神"
"菩薩頭上冒煙","好神氣"
"爬山冠軍","捷足先登"
"爬上塔頂吹口琴","高調"
"潘傢灣的鑼鼓","各打各的"
"潘人美領兵","苦瞭楊傢將"
"盤古王搖撥郎鼓","老天真"
"判官的女兒","鬼丫頭"
"判官要飯","窮鬼"
"螃蟹齣洞","橫行"
"螃蟹的眼裏","一切都是橫的"
"螃蟹教子","不走正道"
"螃蟹拿頂","耍傢(夾)"
"盆裏的洋蔥","裝蒜"
"盆子裏擺山木","假景"
"捧著金飯碗做乞丐","何必求人"
"碰到南牆不迴頭","倔強"
"披麻救火","惹火燒身"
"披西裝穿草鞋","假洋鬼子"
"披著麻袋進竹林","東拉西扯"
"披著破被子上朝","窮盡忠"
"砒霜水加生薑水","又毒又辣"
"皮影錶演","順著人傢的綫跑"
"屁股後頭作揖","瞎盡情"
"屁股上掛糞筐","等死(屎)"
"屁股上畫眉毛","好大的麵子"
"屁股底上安彈簧","一蹦老高"
"腦袋瓜兒長禿瘡","不是好剃的頭；刺兒頭"
"腦袋上戴犁頭","又奸(尖)又猾(滑)"
"腦袋上點燈","頭名(明)"
"腦袋陷進泥塘裏","糊塗到頂瞭"
"腦瓜頂上開口","講天話"
"腦漿子撒地","一塌糊塗"
"腦殼頂扁擔","頭挑"
"腦殼上頂鍋","亂扣帽子"
"腦門上戴眼鏡","眼高"
"腦門上放鞭炮","大難臨頭；災禍臨頭；驚心動魄"
"腦門上掛燈籠","唯我高明"
"腦門上貼郵票","走人瞭"
"腦門上長眼睛","眼朝上；眼嚮上看"
"腦門生癤子","額外負擔"
"嫩竹扁擔挑瓦罐","擔風險"
"嫩竹拱土","冒尖"
"尼姑的木梳","多餘"
"尼姑頭上插花","無法(發)；沒法(發)"
"泥地上跑馬","一步一個腳印"
"泥溝裏撥船","乾吃力"
"泥馬過河","自身難保"
"泥捏的勇士","上不瞭陣勢"
"泥菩薩掉在湯鍋裏","渾身酥軟"
"泥菩薩鍍金","錶麵一層"
"泥菩薩抹香粉","裝相"
"泥鰍過魚網","無孔不入"
"泥鰍喝瞭石灰水","死硬"
"泥人的臉","麵如土色"
"泥人入海","有去無迴"
"泥塞筆管","一竅不通"
"泥水匠的瓦刀","光圖錶麵"
"泥娃娃的腦殼","七竅不通"
"泥瓦匠不砌牆","專(磚)等"
"逆風放火","惹火燒身；引火燒身"
"逆水駕木筏子","不進則退"
"年過花甲得子","老來喜"
"年畫上的春牛","離(犁)不得"
"年三十夜撥算盤","滿打滿算"
"攆狗進巷","必有一傷"
"念九九錶","說話算數"
"尿盆裏炒雞蛋","不對味兒；不是味兒"
"牛背上翻跟頭","有點硬功夫"
"牛犢子叫街","懵(門)瞭"
"牛犢子上套","挨鞭子的日子到瞭"
"牛骨頭煮膠","難熬"
"牛角對菱角","一對奸(尖)"
"牛拉磨子","走不齣圈套"
"牛郎會織女","喜相逢"
"牛毛上解鋸","刻薄"
"牛魔王的兵","韆奇百怪"
"牛皮飯碗","打不破"
"牛牽鼻子馬抓鬃","抓住瞭關鍵"
"牛身上的毛","數不清"
"牛頭不對馬嘴","鬍拉亂扯"
"牛羊的肚腹","草包"
"農人說榖，屠夫說豬","乾一行，愛一行"
"女孩子打架","抓小辮子"
"女人的手腕","沒多大勁"
"女婿認不得丈人","有眼不識泰山"
"暖水瓶爆裂","喪膽"
"暖水瓶的塞子","賭(堵)氣"
"暖水瓶裏裝開水","外冷裏熱"
"拿烏龜當鍋蓋","握不住"
"拿腦袋撞牆","頭破血流"
"拿得手，抓得髻","證據確鑿"
"拿住刀把子","有瞭把柄"
"拿著鳳凰當雞賣","貴賤不分"
"拿著疆繩當汗毛揪","說得輕巧"
"拿著兔子當耗牛使","亂套"
"南風天石頭齣汗","迴潮瞭"
"南瓜藤爬電杆","高攀"
"南郭先生吹竹笙","濫竽充數"
"南來的燕，北來的風","擋不住"
"南山的豹，北山的蛟","狠的狠，凶的凶"
"南天門上掛燈籠","照遠不照近"
"南天門上捅窟窿","塌天大禍"
"腦袋不夠四兩重","輕浮"
"腦殼上頂門闆","好大的脾氣"
"腦門上開口","對天講話"
"哪吒戰小龍","抽你的筋，剝你的皮"
"泥巴捏的小人","沒骨氣"
"泥菩薩洗臉","失(濕)麵子"
"泥人經不起雨打","本質太差"
"泥神笑菩薩","你也好不瞭多少"
"逆風點火","自焚"
"粘豆粥糊鍋","難産(鏟)"
"粘米煮山芋","糊糊塗塗"
"碾盤對碾盤","實打實"
"牛鼻子穿環","讓人牽著走"
"牛吃稻草鴨吃榖","各人福氣不同"
"牛吃破草帽","滿肚子的壞圈圈"
"牛犢子拉犁剛上套","沒經驗"
